#,Title,abstract,venue,year,doi,authors,relative_citation_index,relevance_score
42,Octree‐based point cloud simulation to assess the readiness of highway infrastructure for autonomous vehicles,"Autonomous vehicles (AVs) are anticipated to supersede human drivers with an expectation of improved safety and operation. Since current infrastructure is designed based on the constraints caused by human drivers, it must be reassessed for autonomous driving compatibility. Recently, representatives from the infrastructure owners/operators (IOOs), automotive industry, and academia have advocated for new approaches to prepare roadways for the deployment of AVs over the next decade. Following these recommendations, this paper proposes a novel, simulation‐based approach for the assessment of highways ""readiness"" for AVs using 3D point cloud data. The proposed method uses octrees to perform volumetric queries for potential obstructions within an AV sensory field. The proposed approach is compared to a state‐of‐the‐art raycasting approach. Consequently, available sight distances and maximum safe speed limits based on road and AV characteristics are proposed. Finally, a discussion of the potential mitigation measures at the locations with limited sight distances is presented.",Comput. Aided Civ. Infrastructure Eng.,2021,10.1111/mice.12643,"Jonas Weiß, Maged Gouda, Jehanzeb Mirza, K. El-Basyouny, Augusto Ribeiro Castro",6.75,1
8,Implementation and performance analysis of various VM placement strategies in CloudSim,,Journal of Cloud Computing,2015,10.1186/s13677-015-0045-5,"Mohammed Rashid Chowdhury, R. Rahman, Mohammad Raihan Mahmud",5.9,1
110,Hybridization of seasonal chaotic cloud simulated annealing algorithm in a SVR-based load forecasting model,,Neurocomputing,2015,10.1016/j.neucom.2014.10.055,"Ming-Wei Li, Wei‐Chiang Hong, Min-Liang Huang, Jing Geng",5.7,1
229,Open Source Cloud Computing Simulators – A Study on Issues and Challenges,"Cloud computing is a technology to retrieve the Information Technology (IT) services from the internet with the help of tools of web based and web application which resources are retrieved from the Internet through web-based tools and applications. The various cloud computing advancements has been correlated in the virtualization. The cloud-based Platform as a service required to maintain the total lifecycle of building and it produce the web-based (cloud) applications with no cost and without any complexity of retail and managing the fundamental hardware, software, provisioning, and hosting. This paper has focused on cloud computing basics and various types of cloud and services. It was also explore about the features of cloud and deployment. The study of investigation among many several cloud computing investigate security and privacy issues",,2019,10.1109/tcc.2015.2513390,"Hai Jin, E. Gelenbe",5.666667000000000,1
48,Data-driven cloud simulation architecture for automated flexible production lines: application in real smart factories,"In recent years, more manufacturing enterprises are building automated flexible production lines (AFPLs) to satisfy the dynamic and diversified demand. Currently, static planning methods can hardly meet the requirements of the dynamic resource allocation for AFPLs. The technologies of the digital twin can help solve dynamic problems. Therefore, we propose a data-driven cloud simulation architecture for AFPLs in smart factories. First, we design a cloud simulation platform as the architecture foundation. Second, we use the data-driven modelling and simulation method to achieve automated modelling. Third, we implement the system on the cloud using Java, MySQL, and the Anylogic platform, and verify the efficiency of the proposed method by experiments in the real workshop of a 3C (Computer, Communication, Consumer electronics) company. The experimental results show the proposed architecture can support the real-time resource allocation decisions to maximise the throughput in AFPLs. This paper makes contributions by proposing an architecture realising automatic modelling and data-driven simulation first in the cloud simulation environment, and filling the gap of dynamic resource allocation in the research of AFPLs.",International Journal of Production Research,2021,10.1080/00207543.2021.1931977,"C. He, Y. Gong, Z. Guan, D. Luo, L. Yue",5.5,1
247,Construction of a Virtual Mobile Edge Computing Testbed Environment Using the EdgeCloudSim,,,2020,10.3390/electronics9040686,Huhnkuk Lim,5.4,1
210,CloudSimSDN‐NFV: Modeling and simulation of network function virtualization and service function chaining in edge computing environments,"Software‐defined networking (SDN) has evolved and brought an innovative paradigm shift in computer networks by utilizing a programmable software controller with open protocols. Network functions, previously served on dedicated hardware, have shifted to network function virtualization (NFV) that enabled functions to be virtualized and provisioned dynamically upon generic hardware. In addition to NFV, edge computing utilizes the edge resources close to end‐users, which can reduce the end‐to‐end service delay and the network traffic volume. Although these innovative technologies gained significant attention from both academia and industry, there are limited tools and simulation frameworks for the effectiveness evaluation in a repeatable and controllable manner. Furthermore, large‐scale experimental infrastructures are expensive to setup and difficult to maintain. Even if they are created, they are not available or accessible for the majority of researchers throughout the world. In this paper, we propose a framework for simulating NFV functionalities in both edge and cloud computing environments. In addition to the basic network functionalities supported by SDN in CloudSimSDN, we added new NFV features, such as virtualized network functions allocation, migration, and autoscaling with the support of corresponding network functionalities, such as flow load balancing, rerouting, and service function chaining (SFC) maintenance. We evaluated our simulation framework with autoscaling and placement policies for SFC in the integrated edge and cloud computing environments. The results demonstrate its effectiveness in measuring and evaluating the end‐to‐end delay, response time, resource utilization, network traffic, and power consumption with different algorithms in each scenario.","Software, Practice & Experience",2019,10.1002/spe.2755,"Jungmin Son, Tianzhang He, R. Buyya",5.0,1
212,Big Data meet green challenges : VM Consolidation impact on QoS and sustainability in CloudSim,,,2019,10.1145/3368691.3368717,Ijlal Ahmed Niazi,5.0,1
11,A Review of Cloud Computing Simulation Platforms and Related Environments,Recent years have seen an increasing trend towards the development of Discrete Event Simulation (DES) platforms to support cloud computing related decision making and research. The complexity of cl ...,International Conference on Cloud Computing and Services Science,2017,10.5220/0006373006790691,"P. J. Byrne, K. M. Giannoutakis, James Byrne, Per-Olov Östberg, Theo Lynn, Sergej Svorobej, D. Tzovaras, Anna Gourinovitch",4.75,1
61,Stochastic Galerkin method for cloud simulation. Part II: a fully random Navier-Stokes-cloud model,,Journal of Computational Physics,2022,10.1016/j.jcp.2022.111508,"A. Chertock, A. Kurganov, M. Lukácová-Medvidová, B. Wiebe, P. Spichtinger",4.666667000000000,1
177,Exploiting CloudSim in a multiformalism modeling approach for cloud based systems,,Simulation modelling practice and theory,2019,10.1016/j.simpat.2018.09.018,"Agnieszka Jakóbik, M. Iacono, M. Gribaudo, E. Barbierato",4.333333000000000,1
15,Energy modeling in cloud simulation frameworks,,Future generations computer systems,2018,10.1016/j.future.2017.06.016,"K. M. Giannoutakis, Antonios T. Makaratzis, D. Tzovaras",4.142857000000000,1
113,Vessel traffic flow forecasting by RSVR with chaotic cloud simulated annealing genetic algorithm and KPCA,,Neurocomputing,2015,10.1016/j.neucom.2015.01.010,"Ming-Wei Li, Wenlong Wang, Duanfeng Han",3.9,1
117,Building a cloud on earth: A study of cloud computing data center simulators,,Comput. Networks,2016,10.1016/j.comnet.2016.06.037,"A. Shami, P. Ohlen, Mohamed Abu Sharkh, A. Kanso",3.888889000000000,1
241,A Survey on Cloud Computing Simulation and Modeling,,SN Computer Science,2020,10.1007/s42979-020-00273-1,Ilyas Bambrik,3.8,1
164,Simulation modeling of cloud computing for smart grid using CloudSim,,,2017,10.1016/j.jesit.2016.10.004,"S. Mehmi, H. Verma, A. L. Sangal",3.75,1
227,A Study on Energy Consumption of DVFS and Simple VM Consolidation Policies in Cloud Computing Data Centers Using CloudSim Toolkit,,Wireless personal communications,2020,10.1007/s11277-020-07070-2,"B. Singh, Ananda Kumar Subramanian, Xiao-Zhi Gao, Maulik Kohli, Sanskar Katiyar",3.4,1
224,A CloudSim-Extension for Simulating Distributed Functions-as-a-Service,"The performance of Functions-as-a-Service (FaaS) would be significantly improved by organizing cloud servers into a hierarchical distributed architecture, resulting in low-latency access and faster response when compared to centralized cloud. However, the distributed organization introduces a new type of decision making problem for placing and executing functions to a specific cloud server. In order to handle the problem, we extended a well-known cloud computing simulator, CloudSim. The extended CloudSim enables users to define FaaS functions with various characteristics and service level objectives (SLOs), place them across geo-distributed cloud servers, and evaluate per-function performance. Proof-of-Concept (PoC) evaluation results show the potential of our CloudSim extension in terms of execution efficiency and simulation reality.",International Conference on Parallel and Distributed Computing: Applications and Technologies,2019,10.1109/pdcat46702.2019.00076,"Chunglae Cho, H. Jeon, Seungjae Shin, Seunghyun Yoon",3.3333330000000001,1
202,Investigation of Cloud Scheduling Algorithms for Resource Utilization Using CloudSim,"Compute Cloud comprises a distributed set of High-Performance Computing (HPC) machines to stipulate on-demand computing services to remote users over the internet. Clouds are capable enough to provide an optimal solution to address the ever-increasing computation and storage demands of large scientific HPC applications. To attain good computing performances, mapping of Cloud jobs to the compute resources is a very crucial process. Currently we can say that several efficient Cloud scheduling heuristics are available, however, selecting an appropriate scheduler for the given environment (i.e., jobs and machines heterogeneity) and scheduling objectives (such as minimized makespan, higher throughput, increased resource utilization, load balanced mapping, etc.) is still a difficult task. In this paper, we consider ten important scheduling heuristics (i.e., opportunistic load balancing algorithm, proactive simulation-based scheduling and load balancing, proactive simulation-based scheduling and enhanced load balancing, minimum completion time, Min-Min, load balance improved Min-Min, Max-Min, resource-aware scheduling algorithm, task-aware scheduling algorithm, and Sufferage) to perform an extensive empirical study to insight the scheduling mechanisms and the attainment of the major scheduling objectives. This study assumes that the Cloud job pool consists of a collection of independent and compute-intensive tasks that are statically scheduled to minimize the total execution time of a workload. The experiments are performed using two synthetic and one benchmark GoCJ workloads on a renowned Cloud simulator CloudSim. This empirical study presents a detailed analysis and insights into the circumstances requiring a load balanced scheduling mechanism to improve overall execution performance in terms of makespan, throughput, and resource utilization. The outcomes have revealed that the Sufferage and task-aware scheduling algorithm produce minimum makespan for the Cloud jobs. However, these two scheduling heuristics are not efficient enough to exploit the full computing capabilities of Cloud virtual machines.",Computing and informatics,2019,10.31577/cai_2019_3_525,"Muhammad Aleem, A. Hussain, Muhammad Arshad Islam, M. Iqbal",3.0,1
217,Cluster-based Analysis of Multi-Parameter Distributions in Cloud Simulation Ensembles,"The proposed approach enables a comparative visual exploration of multi-parameter distributions in time-varying 3D ensemble simulations. To investigate whether dominant trends in such distributions occur, we consider the simulation elements in each dataset—per ensemble member and time step—as elements in the multi-dimensional parameter space, and use t-SNE to project these elements into 2D space. To find groups of elements with similar parameter values in each time step, the resulting projections are clustered via k-Means. Since elements with similar data values can be disconnected in one single projection, we compute an ensemble of projections using multiple t-SNE runs and use evidence accumulation to determine sets of elements that are stably clustered together. We build upon per-cluster multi-parameter distribution functions to quantify cluster similarity, and merge clusters in different ensemble members. By applying the proposed approach to a time-varying ensemble, the temporal development of clusters, and in particular their stability over time can be analyzed. We apply this approach to analyze a time-varying ensemble of 3D cloud simulations. The visualizations via t-SNE, parallel coordinate plots and scatter plot matrices show dependencies between the simulation results and the simulation parameters used to generate the ensemble, and they provide insight into the temporal ensemble variability regarding the major trends in the multi-parameter distributions.","International Symposium on Vision, Modeling, and Visualization",2019,10.1109/tvcg.2018.2864901,"Josef Stumpfegger, Alexander Kumpf, R. Westermann",3.0,1
238,An Introduction of CloudSim Simulation tool for Modelling and Scheduling,"Cloud computing goals are to deliver secure, maintainable, fault-tolerant and reliable infrastructure for application services based on the net. To schedule and modeling the different services and applications on the cloud is a challenging job with different energy and load performances. The research on Cloud computing is still at the early stage and in order to resolve this problem CloudSim is introduced. CloudSim is a simulation tool, that has the ability to manage various services, scheduling the services and modeling infrastructure of the cloud. This paper also aims to provide the importance of simulation for performing various experimental beds with the case study of one of the simulation tools CloudSim. It also discussed its architecture, features with design and application. Last, this paper also supplies the installation steps to use CloudSim in NetBeans IDE and Eclipse.",2020 International Conference on Emerging Smart Computing and Informatics (ESCI),2020,10.1109/esci48226.2020.9167549,"Amit Sundas, S. Panda",3.0,1
183,Modelling resource heterogeneities in cloud simulations and quantifying their accuracy,,Simulation modelling practice and theory,2019,10.1016/j.simpat.2019.02.003,"Lee Gillam, M. Zakarya",2.6666669999999999,1
191,IoTSim-Stream: Modelling stream graph application in cloud simulation,,Future generations computer systems,2019,10.1016/j.future.2019.04.004,"R. Calheiros, S. Garg, R. Ranjan, M. Barika, Andrew Chan",2.6666669999999999,1
169,Self Organizing Map Based Evaluation of Present Day GCM Cloud Simulations,,,2018,10.1002/2017jd028196,A. Schuddeboom,2.5714290000000002,1
171,Scheduler hierarchies to aid peta-scale cloud simulations with DISSECT-CF,"IaaS cloud simulators are frequently used for evaluating new scheduling practices. Unfortunately, most of these simulators scarcely allow the evaluation of larger-scale cloud infrastructures (i.e., with physical machine counts over a few thousand). Thus, they are seldom applicable for evaluating infrastructures available in commercial cloud settings (e.g., users mostly do not wait for simulations to complete in such settings). DISSECT-CF was shown to be better scaling than several other simulators, but peta-scale infrastructures with often millions of CPU cores were out of scope for DISSECT-CF as well. This paper reveals a hierarchical scheduler extension of DISSECT-CF that not only allows its users to evaluate peta-scale infrastructure behaviour, but also opens possibilities for analysing new multi-cloud scheduling techniques. The paper then analyses the performance of the extended simulator through large-scale synthetic workloads and compares its performance to DISSECT-CF's past behaviour. Based on the analysis, the paper concludes with recommended simulation setups that will allow the evaluation of new schedulers for peta-scale clouds in a timely fashion (e.g., within minutes).",,2015,10.1287/moor.2014.0694,Gábor Kecskeméti,2.4,1
133,A Comparative Analysis of Cloud Simulators,"Cloud Computing is a new paradigm which allows individuals and organizations to purchase resources like compute, storage, networking etc as a utility with minimum human intervention. According to recent surveys more than half of the large to medium size organizations have already migrated to the cloud. Despite of providing resources as a utility and its wide spread acceptance in the IT community, cloud computing is still at its prime and poses many challenges like automated service provisioning, virtual machine migration, server consolidation, energy management, traffic analysis, data security, software frameworks which needs considerable amount of research to stabilize. Conducting research on live cloud environments for individuals or small institutions is very difficult due to the costs involved in setting up a cloud. This paper presents various cloud simulators which were developed over the years that are a cost effective way of conducting cloud research tasks. This paper compares almost 17 cloud simulators based on diverse criteria and the result and explanations are presented which enables new researchers to choose a suitable cloud simulator.",,2016,10.5815/ijmecs.2016.04.08,Suryateja Satya Pericherla,2.3333330000000001,1
186,Simulating the Resource Freeing Attack: Using Cloudsim Simulator,"Virtualization is a technique to make the cloud computations secure. This technique can reduce the costs and increase the reliability of systems by means of sharing the physical resources between several VMs (Virtual Machines). However, virtualized environments are vulnerable to some security issues such as lack of performance isolation. These days, using the virtualization as a technique is growing slowly in large organizations. Despite these advantages, virtualizations have created several security challenges. So, the main concern of virtualization service providers and their customers is how to detect and encounter these security challenges. In this research, the resource freeing attack is selected among all available virtualization attacks because of its simplicity and its drastic effects. Resource freeing attack causes an unfair resource distribution among VMs. We use Cloudsim as a powerful cloud simulation toolkit to implement resource freeing attack. After simulating the attack, the CPU's efficiency, response time diagrams, and the obtained bandwidth are measured. The simulation results show the significant changes in VM behavior after occurring the attack in the virtualized environment. These changes help cloud providers to detect resource freeing attack in the cloud.",,2016,10.1177/0165551516654354,"M. Analoui, Shakiba Nayebalsadr",2.3333330000000001,1
231,Vehicular-cloud simulation framework for predicting traffic flow data,"The traffic flow prediction has become an important process tailored with the exponential development of cities and the transportation systems. The main purpose of the prediction task is to improve the logistic services and reduce the cost of the road congestion. In this paper, we propose a vehicular-cloud simulation framework with a layer of traffic cloud services to predict accurate traffic flow data. Learning of supervised traffic flow data from several data sources is the core of these services. Particularly, we focus on a particular type of dependency (i.e., monotone dependency) between the learning traffic inputs and its responses. The learning algorithm we propose aims to solve the regression problem by predicting values of a continuous measure. The accuracy of the proposed cloud services have been tested under congestion conditions, where the results show better performances over short periods and daily forecasts.",International Journal of Internet Technology and Secured Transactions,2020,10.1504/ijitst.2020.104578,"Sahraoui Abdelatif, Ahmed Ahmim, Derdour Makhlouf, P. Roose",2.2,1
119,Cloud simulators in the implementation and evaluation of virtual machine placement algorithms,"In recent years, many algorithms have been proposed for the optimized allocation of virtual machines in cloud data centers. Such algorithms are usually implemented and evaluated in a cloud simulator. This paper investigates the impact of the choice of cloud simulator on the implementation of the algorithms and on the evaluation results. In particular, we report our experiences with porting an algorithm and its evaluation framework from one simulator (CloudSim) to another (DISSECT‐CF). Our findings include limitations in the design of the simulators and in existing algorithm implementations. Based on this experience, we propose architectural guidelines for the integration of virtual machine allocation algorithms into cloud simulators.","Software, Practice & Experience",2018,10.1002/spe.2579,Z. Mann,2.142857000000000,1
157,Comparison of Various Cloud Simulation tools available in Cloud Computing,"2 Abstract: Cloud computing is sharing of computer hardware and software resources over the internet so that anyone who is connected to the internet can access it as a service in a seamless way. As we are moving more and more towards the application of this newly emerging technology, it is essential to study, evaluate and analyse the performance, security and other related problems that might be encountered in cloud computing. Since, it is not a feasible way to directly analyse the behaviour of cloud on such problems using the real hardware and software resources due to its high costs, modelling and simulation has become a very powerful tool to cope with these issues. In this paper, we review, analyse and compare features of the existing cloud computing modelling and simulation tools.",,2015,10.17148/ijarcce.2015.4342,"Mayank Shekhar, Utkal Sinha",2.1,1
63,Extending CloudSim to simulate sensor networks,"With the enormous growth of sensing devices tending to the use of Internet of everything, data aggregated by these devices are the biggest data streams generated in the history of IT. Thus, aggregating such data in the cloud for leveraging powerful cloud computing processing and storage is essential, and it eventually led to the emergence of Sensor-Cloud concept. This has allowed aggregation of the sensors’ data to the cloud for further processing, storage, and visualization. Furthermore, virtualization makes the sensors accessible to other end-user applications that require such data. All of these features are expected to be provided by the Sensor-Cloud invisibly, without the end-user application developer being aware of the sensor location or hardware specifications. For these reasons, a simulation platform where Sensor-Cloud infrastructure agents and components may be modeled, scheduling policies defined, and execution time assessed is essential to assure performance and quality of service. The aim of this study is to develop such a platform by enhancing CloudSim, the most well-known and powerful simulation tool for cloud computing. A user-friendly Java Script Swing-based graphical user interface (GUI) has been carefully designed and implemented for this purpose. The user can then utilize the specific interface to define the Cloudlet type as well as the scheduling on a single virtual machine. Finally, a simulation study is carried out on the platform to demonstrate its efficiency and accuracy. We were able to fully model the needed scenarios and acquire real-time results, displaying good accuracy in terms of application response time with a mean absolute percentage error (MAPE) of 3.37%, demonstrating the increased proposed platform’s proper operation.",International Conference on Advances in System Simulation,2022,10.1177/00375497221105530,"E. A. Elsheikh, F. Sliman, M. Habaebi, M. R. Islam, M. Mesri, Yacine Merrad",2.0,1
90,Parallel Application Performance Prediction Using Analysis Based Models and HPC Simulations,"Parallel application performance models provide valuable insight about the performance in real systems. Capable tools providing fast, accurate, and comprehensive prediction and evaluation of high-performance computing (HPC) applications and system architectures have important value. This paper presents PyPassT, an analysis based modeling framework built on static program analysis and integrated simulation of the target HPC architectures. More specifically, the framework analyzes application source code written in C with OpenACC directives and transforms it into an application model describing its computation and communication behavior (including CPU and GPU workloads, memory accesses, and message-passing transactions). The application model is then executed on a simulated HPC architecture for performance analysis. Preliminary experiments demonstrate that the proposed framework can represent the runtime behavior of benchmark applications with good accuracy.",SIGSIM Principles of Advanced Discrete Simulation,2018,10.1145/3200921.3200937,"S. Eidenbenz, Gopinath Chennupati, N. Santhi, M. Obaida, Jason Liu",2.0,1
226,"Energy-driven cloud simulation: existing surveys, simulation supports, impacts and challenges",,Cluster Computing,2020,10.1007/s10586-020-03068-4,Azlan B. Ismail,2.0,1
