Title,abstract,Review Status,Selection Status,Last Stage included,relative_citation_index,relevance_score,Research Question,Authors,"Related Literature Review ",year,DOI,venue,"Related back to Literature Review ",Comment,#
Cloud Simulations for RoboCup,"Possibly the most appealing aspect of RoboCup is working with real robots, specially for young people. Yet as the complexity of the task increases, the effort in software development becomes higher, and a simulation testbed can be a valuable tool for prototyping and testing software solutions prior to their implementation on a real robot. In fact, several RoboCup leagues feature both real and virtual competitions. In addition, the RoboCup community could benefit from the cooperation and sharing of experiences among users in an online worldwide platform. We present a simulation tool based on the cloud, which can model complex robots off the shelf by using only a web browser as the base system for learning robotics, and running competitions. Such a platform minimizes costs and the troubles associated with different operating systems, while providing a rich experience of testing, with the possibility of a straightforward transfer to a real robot. Moreover, users can easily share their simulations for cooperative learning.",,Rejected,Abstract Screening,8.125,1,,"E. Cervera, R. Téllez, Gustavo A. Casañ",,2017,10.1175/jas-d-17-0043.1,Robot Soccer World Cup,,,128
CloudSimSDN: Modeling and Simulation of Software-Defined Cloud Data Centers,"Software-Defined Networking not only addresses the shortcoming of traditional network technologies in dealing with frequent and immediate changes in cloud data centers but also made network resource management open and innovation-friendly. To further accelerate the innovation pace, accessible and easy-to-learn testbeds are required which estimate and measure the performance of network and host capacity provisioning approaches simultaneously within a data center. This is a challenging task and is often costly if accomplished in a physical environment. Thus, a lightweight and scalable simulation environment is necessary to evaluate the network allocation capacity policies while avoiding such a complicated and expensive facility. This paper introduces CloudSimSDN, a simulation framework for SDN-enabled cloud environments based on CloudSim. This paper develops and presents the overall architecture and features of the framework and provides several use cases. Moreover, we empirically validate the accuracy and effectiveness of CloudSimSDN through a number of simulations of a cloud-based three-tier web application.",,Undecided,Abstract Screening,7.6,1,,"R. Calheiros, Jungmin Son, Young Yoon, A. V. Dastjerdi, R. Buyya, Xiaohui Ji",,2015,10.1109/ccgrid.2015.87,"2015 15th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",,,228
Octree‐based point cloud simulation to assess the readiness of highway infrastructure for autonomous vehicles,"Autonomous vehicles (AVs) are anticipated to supersede human drivers with an expectation of improved safety and operation. Since current infrastructure is designed based on the constraints caused by human drivers, it must be reassessed for autonomous driving compatibility. Recently, representatives from the infrastructure owners/operators (IOOs), automotive industry, and academia have advocated for new approaches to prepare roadways for the deployment of AVs over the next decade. Following these recommendations, this paper proposes a novel, simulation‐based approach for the assessment of highways ""readiness"" for AVs using 3D point cloud data. The proposed method uses octrees to perform volumetric queries for potential obstructions within an AV sensory field. The proposed approach is compared to a state‐of‐the‐art raycasting approach. Consequently, available sight distances and maximum safe speed limits based on road and AV characteristics are proposed. Finally, a discussion of the potential mitigation measures at the locations with limited sight distances is presented.",,Rejected,Abstract Screening,6.75,1,,"Jonas Weiß, Maged Gouda, Jehanzeb Mirza, K. El-Basyouny, Augusto Ribeiro Castro",,2021,10.1111/mice.12643,Comput. Aided Civ. Infrastructure Eng.,,,42
Implementation and performance analysis of various VM placement strategies in CloudSim,,,Rejected,Abstract Screening,5.9,1,,"Mohammed Rashid Chowdhury, R. Rahman, Mohammad Raihan Mahmud",,2015,10.1186/s13677-015-0045-5,Journal of Cloud Computing,,,8
Hybridization of seasonal chaotic cloud simulated annealing algorithm in a SVR-based load forecasting model,,,Rejected,Abstract Screening,5.7,1,,"Ming-Wei Li, Wei‐Chiang Hong, Min-Liang Huang, Jing Geng",,2015,10.1016/j.neucom.2014.10.055,Neurocomputing,,,110
Open Source Cloud Computing Simulators – A Study on Issues and Challenges,"Cloud computing is a technology to retrieve the Information Technology (IT) services from the internet with the help of tools of web based and web application which resources are retrieved from the Internet through web-based tools and applications. The various cloud computing advancements has been correlated in the virtualization. The cloud-based Platform as a service required to maintain the total lifecycle of building and it produce the web-based (cloud) applications with no cost and without any complexity of retail and managing the fundamental hardware, software, provisioning, and hosting. This paper has focused on cloud computing basics and various types of cloud and services. It was also explore about the features of cloud and deployment. The study of investigation among many several cloud computing investigate security and privacy issues",,Undecided,Abstract Screening,5.666667,1,,"Hai Jin, E. Gelenbe",,2019,10.1109/tcc.2015.2513390,,,,229
Data-driven cloud simulation architecture for automated flexible production lines: application in real smart factories,"In recent years, more manufacturing enterprises are building automated flexible production lines (AFPLs) to satisfy the dynamic and diversified demand. Currently, static planning methods can hardly meet the requirements of the dynamic resource allocation for AFPLs. The technologies of the digital twin can help solve dynamic problems. Therefore, we propose a data-driven cloud simulation architecture for AFPLs in smart factories. First, we design a cloud simulation platform as the architecture foundation. Second, we use the data-driven modelling and simulation method to achieve automated modelling. Third, we implement the system on the cloud using Java, MySQL, and the Anylogic platform, and verify the efficiency of the proposed method by experiments in the real workshop of a 3C (Computer, Communication, Consumer electronics) company. The experimental results show the proposed architecture can support the real-time resource allocation decisions to maximise the throughput in AFPLs. This paper makes contributions by proposing an architecture realising automatic modelling and data-driven simulation first in the cloud simulation environment, and filling the gap of dynamic resource allocation in the research of AFPLs.",,Undecided,Abstract Screening,5.5,1,,"C. He, Y. Gong, Z. Guan, D. Luo, L. Yue",,2021,10.1080/00207543.2021.1931977,International Journal of Production Research,,,48
Construction of a Virtual Mobile Edge Computing Testbed Environment Using the EdgeCloudSim,"Mobile edge computing is a technology that can prepare for a new era of cloud computing and compensate for shortcomings by processing data near the edge of the network where data is generated rather than centralized data processing. It is possible to realize a low-latency/high-speed computing service by locating computing power to the edge and analyzing data, rather than in a data center far from computing and processing data. In this article, we develop a virtual mobile edge computing testbed environment where the cloud and edge nodes divide computing tasks from mobile terminals using the EdgeCloudSim simulator. Performance of offloading techniques for distribution of computing tasks from mobile terminals between the central cloud and mobile edge computing nodes is evaluated and analyzed under the virtual mobile edge computing environment. By providing a virtual mobile edge computing environment and offloading capabilities, we intend to provide prior knowledge to industry engineers for building mobile edge computing nodes that collaborate with the cloud.",,Undecided,Abstract Screening,5.4,1,,Huhnkuk Lim,,2020,10.3390/electronics9040686,,,,247
Big Data meet green challenges : VM Consolidation impact on QoS and sustainability in CloudSim,"The number of connected devices is increasing day by day and is projected to reach approximately 50 billion by 2020. This leads to data generation on a whole new scale and such complex, vast and varied data is called Big Data. Big Data processing will lead the way into the future of smart and sustainable communities. Data Centers are needed as entities to deal with Big Data, but a major challenge is the immense energy consumption and danger towards sustainability. To counter these challenges, Virtual Machine (VM) consolidation is a technique for reducing energy and resource consumption of a cloud computing infrastructure. Several of these techniques have been studied with promising results but no solid work is present which analyzes their effects on a big data workload. This work aims to analyze the impact of VM consolidation in terms of Quality of Service (QoS) and Quality in Sustainability (QiS) by comparing a number of techniques in response to big data workload. This is done by simulating a cloud computing environment using CloudSim. The effect of VM consolidation along with Big Data characteristics is observed and results are presented based on which a combination of the algorithms is recommended.",,Rejected,Abstract Screening,5,1,,Ijlal Ahmed Niazi,,2019,10.1145/3368691.3368717,,,,212
CloudSimSDN‐NFV: Modeling and simulation of network function virtualization and service function chaining in edge computing environments,"Software‐defined networking (SDN) has evolved and brought an innovative paradigm shift in computer networks by utilizing a programmable software controller with open protocols. Network functions, previously served on dedicated hardware, have shifted to network function virtualization (NFV) that enabled functions to be virtualized and provisioned dynamically upon generic hardware. In addition to NFV, edge computing utilizes the edge resources close to end‐users, which can reduce the end‐to‐end service delay and the network traffic volume. Although these innovative technologies gained significant attention from both academia and industry, there are limited tools and simulation frameworks for the effectiveness evaluation in a repeatable and controllable manner. Furthermore, large‐scale experimental infrastructures are expensive to setup and difficult to maintain. Even if they are created, they are not available or accessible for the majority of researchers throughout the world. In this paper, we propose a framework for simulating NFV functionalities in both edge and cloud computing environments. In addition to the basic network functionalities supported by SDN in CloudSimSDN, we added new NFV features, such as virtualized network functions allocation, migration, and autoscaling with the support of corresponding network functionalities, such as flow load balancing, rerouting, and service function chaining (SFC) maintenance. We evaluated our simulation framework with autoscaling and placement policies for SFC in the integrated edge and cloud computing environments. The results demonstrate its effectiveness in measuring and evaluating the end‐to‐end delay, response time, resource utilization, network traffic, and power consumption with different algorithms in each scenario.",,Undecided,Abstract Screening,5,1,,"Jungmin Son, Tianzhang He, R. Buyya",,2019,10.1002/spe.2755,"Software, Practice & Experience",,,210
A Review of Cloud Computing Simulation Platforms and Related Environments,"Recent years have seen an increasing trend towards the development of Discrete Event Simulation (DES) platforms to support cloud computing related decision making and research. The complexity of cloud environments is increasing with scale and heterogeneity posing a challenge for the efficient management of cloud applications and data centre resources. The increasing ubiquity of social media, mobile and cloud computing combined with the Internet of Things and emerging paradigms such as Edge and Fog Computing is exacerbating this complexity. Given the scale, complexity and commercial sensitivity of hyperscale computing environments, the opportunity for experimentation is limited and requires substantial investment of resources both in terms of time and effort. DES provides a low risk technique for providing decision support for complex hyperscale computing scenarios. In recent years, there has been a significant increase in the development and extension of tools to support DES for cloud computing resulting in a wide range of tools which vary in terms of their utility and features. Through a review and analysis of available literature, this paper provides an overview and multi-level feature analysis of 33 DES tools for cloud computing environments. This review updates and extends existing reviews to include not only autonomous simulation platforms, but also on plugins and extensions for specific cloud computing use cases. This review identifies the emergence of CloudSim as a de facto base platform for simulation research and shows a lack of tool support for distributed execution (parallel execution on distributed memory systems).",,Undecided,Abstract Screening,4.75,1,,"P. J. Byrne, K. M. Giannoutakis, James Byrne, Per-Olov Östberg, Theo Lynn, Sergej Svorobej, D. Tzovaras, Anna Gourinovitch",,2017,10.5220/0006373006790691,International Conference on Cloud Computing and Services Science,,,11
Stochastic Galerkin method for cloud simulation. Part II: a fully random Navier-Stokes-cloud model,"This paper is a continuation of the work presented in Chertock et al. (2019) https://www.sciencedirect.com/science/article/pii/S0021999123000827#br0080. We study uncertainty propagation in warm cloud dynamics of weakly https://www.sciencedirect.com/topics/earth-and-planetary-sciences/compressible-fluid. The mathematical model is governed by a multiscale system of PDEs in which the macroscopic https://www.sciencedirect.com/topics/engineering/fluid-dynamics is described by a weakly compressible Navier-Stokes system and the microscopic cloud dynamics is modeled by a convection-diffusion-reaction system. In order to quantify uncertainties present in the system, we derive and implement a generalized polynomial chaos stochastic https://www.sciencedirect.com/topics/physics-and-astronomy/galerkin-method. Unlike the first part of this work, where we restricted our consideration to the partially stochastic case in which the uncertainties were only present in the https://www.sciencedirect.com/topics/earth-and-planetary-sciences/cloud-physics equations, we now study a fully random Navier-Stokes-cloud model in which we include randomness in the macroscopic https://www.sciencedirect.com/topics/physics-and-astronomy/fluid-dynamics as well. We conduct a series of numerical experiments illustrating the accuracy and efficiency of the developed approach.",,Rejected,Abstract Screening,4.666667,1,,"A. Chertock, A. Kurganov, M. Lukácová-Medvidová, B. Wiebe, P. Spichtinger",,2022,10.1016/j.jcp.2022.111508,Journal of Computational Physics,,,61
Exploiting CloudSim in a multiformalism modeling approach for cloud based systems,"Cloud based architectures present many challenges, ranging from poorly dimensioned hardware to lengthy wait times and resource balancing issues. Most of these problems can be mitigated by using proper performance evaluation techniques, depending on the accuracy of the model abstracting the real system. The adoption of a formalism over another to describe the considered infrastructure plays a crucial role in achieving this goal. In this sense, multiformalism proves itself to be a powerful modeling approach describing each system component according to the most suitable representation. This paper presents a novel modeling method oriented to the prediction of cloud architectures performance, suitable for joining the advantages of high level modeling abstractions and of the detail of a specialized simulator. Generalized https://www.sciencedirect.com/topics/computer-science/stochastic-petri-net are used to describe the workload and the behavior of users and applications, while Cloudsim, a well known cloud infrastructure simulator, is adopted for the cloud part. A https://www.sciencedirect.com/topics/computer-science/case-study of a simplified https://www.sciencedirect.com/topics/computer-science/edge-computing application is presented to demonstrate the effectiveness of the proposed approach.",,Undecided,Abstract Screening,4.333333,1,,"Agnieszka Jakóbik, M. Iacono, M. Gribaudo, E. Barbierato",,2019,10.1016/j.simpat.2018.09.018,Simulation modelling practice and theory,,,177
Energy modeling in cloud simulation frameworks,,,Rejected,Full-Text Screening,4.142857,1,,"K. M. Giannoutakis, Antonios T. Makaratzis, D. Tzovaras",,2018,10.1016/j.future.2017.06.016,Future generations computer systems,,,15
Vessel traffic flow forecasting by RSVR with chaotic cloud simulated annealing genetic algorithm and KPCA0,"The prediction of vessel traffic flow is complicated, its accuracy is influenced by uncertain socio-economic factors, especially by the https://www.sciencedirect.com/topics/engineering/singular-point existed in the statistical data. Recently, the robust v-support vector regression model (RSVR) has been successfully employed to solve non-linear regression and time-series problems with the singular points. This paper will firstly propose a novel hybrid algorithm, namely chaotic cloud simulated annealing https://www.sciencedirect.com/topics/engineering/genetic-algorithm (CcatCSAGA) for optimizing the parameters of RSVR, to improve the performance of vessel traffic flow prediction. In which, the proposed CcatCSAGA employs cat mapping to carefully expand variable searching space, to overcome premature local optimum, and uses cloud model efficiently to search a better solution in a small neighborhood of the current optimal solution, to improve the search efficiency. Secondly, the kernel https://www.sciencedirect.com/topics/engineering/principal-components analysis (KPCA) algorithm is adopted to determine the final input vectors from the candidate input variables. Finally, a numerical example of vessel traffic flow and its influence factors data from Tianjin are employed to test the forecasting performance of the proposed KRSVR-CcatCSAGA model.

",,Rejected,Abstract Screening,3.9,1,,"Ming-Wei Li, Wenlong Wang, Duanfeng Han",,2015,10.1016/j.neucom.2015.01.010,Neurocomputing,,,113
Building a cloud on earth: A study of cloud computing data center simulators,,,Rejected,Full-Text Screening,3.888889,1,,"A. Shami, P. Ohlen, Mohamed Abu Sharkh, A. Kanso",,2016,10.1016/j.comnet.2016.06.037,Comput. Networks,,,117
A Survey on Cloud Computing Simulation and Modeling,,,Rejected,Full-Text Screening,3.8,1,,Ilyas Bambrik,,2020,10.1007/s42979-020-00273-1,SN Computer Science,,,241
Simulation modeling of cloud computing for smart grid using CloudSim,"In this paper a smart grid cloud has been simulated using CloudSim. Various parameters like number of virtual machines (VM), https://www.sciencedirect.com/topics/computer-science/virtual-machine-image size, VM https://www.sciencedirect.com/topics/engineering/reliability-availability-and-maintainability-reliability-engineering, VM bandwidth, https://www.sciencedirect.com/topics/computer-science/cloudlet length, and their effect on cost and cloudlet completion time in time-shared and space-shared https://www.sciencedirect.com/topics/engineering/resource-allocation-policy have been studied. As the number of cloudlets increased from 68 to 178, https://www.sciencedirect.com/topics/computer-science/great-number of cloudlets completed their execution with high cloudlet completion time in time-shared allocation policy as compared to space-shared allocation policy. Similar trend has been observed when VM bandwidth is increased from 1 Gbps to 10 Gbps and VM RAM is increased from 512 MB to 5120 MB. The cost of processing increased linearly with respect to increase in number of VMs, VM Image size and cloudlet length.
• ",,Rejected,Abstract Screening,3.75,1,,"S. Mehmi, H. Verma, A. L. Sangal",,2017,10.1016/j.jesit.2016.10.004,,,,164
A Study on Energy Consumption of DVFS and Simple VM Consolidation Policies in Cloud Computing Data Centers Using CloudSim Toolkit,"The exponential growth in cloud services has led to an all-time high use and expansion of cloud computing frameworks. The frameworks operating in data centers, reportedly account for about two-hundredths of total energy consumed around the globe. Numerous methods have been proposed to curb or reduce the consumption. One such method is Virtual Machine consolidation. In this paper, we simulate the operation of a data center with varying number of hosts across different operating hours with support of CloudSim and estimate the energy consumption of non-power aware hosts, dynamic voltage and frequency scaling—enabled hosts, and two popular VM consolidation policies, namely—local regression minimum utilization and static threshold random selection. We then compare the above techniques to show the various levels of energy consumption. We also have a brief look at the SLA violation rates of the two consolidation policies.",,Rejected,Abstract Screening,3.4,1,,"B. Singh, Ananda Kumar Subramanian, Xiao-Zhi Gao, Maulik Kohli, Sanskar Katiyar",,2020,10.1007/s11277-020-07070-2,Wireless personal communications,,,227
A CloudSim-Extension for Simulating Distributed Functions-as-a-Service,"The performance of Functions-as-a-Service (FaaS) would be significantly improved by organizing cloud servers into a hierarchical distributed architecture, resulting in low-latency access and faster response when compared to centralized cloud. However, the distributed organization introduces a new type of decision making problem for placing and executing functions to a specific cloud server. In order to handle the problem, we extended a well-known cloud computing simulator, CloudSim. The extended CloudSim enables users to define FaaS functions with various characteristics and service level objectives (SLOs), place them across geo-distributed cloud servers, and evaluate per-function performance. Proof-of-Concept (PoC) evaluation results show the potential of our CloudSim extension in terms of execution efficiency and simulation reality.",,Undecided,Abstract Screening,3.333333,1,,"Chunglae Cho, H. Jeon, Seungjae Shin, Seunghyun Yoon",,2019,10.1109/pdcat46702.2019.00076,International Conference on Parallel and Distributed Computing: Applications and Technologies,,,224
An Introduction of CloudSim Simulation tool for Modelling and Scheduling,"Cloud computing goals are to deliver secure, maintainable, fault-tolerant and reliable infrastructure for application services based on the net. To schedule and modeling the different services and applications on the cloud is a challenging job with different energy and load performances. The research on Cloud computing is still at the early stage and in order to resolve this problem CloudSim is introduced. CloudSim is a simulation tool, that has the ability to manage various services, scheduling the services and modeling infrastructure of the cloud. This paper also aims to provide the importance of simulation for performing various experimental beds with the case study of one of the simulation tools CloudSim. It also discussed its architecture, features with design and application. Last, this paper also supplies the installation steps to use CloudSim in NetBeans IDE and Eclipse.",,Undecided,Abstract Screening,3,1,,"Amit Sundas, S. Panda",,2020,10.1109/esci48226.2020.9167549,2020 International Conference on Emerging Smart Computing and Informatics (ESCI),,,238
Cluster-based Analysis of Multi-Parameter Distributions in Cloud Simulation Ensembles,"The proposed approach enables a comparative visual exploration of multi-parameter distributions in time-varying 3D ensemble simulations. To investigate whether dominant trends in such distributions occur, we consider the simulation elements in each dataset—per ensemble member and time step—as elements in the multi-dimensional parameter space, and use t-SNE to project these elements into 2D space. To find groups of elements with similar parameter values in each time step, the resulting projections are clustered via k-Means. Since elements with similar data values can be disconnected in one single projection, we compute an ensemble of projections using multiple t-SNE runs and use evidence accumulation to determine sets of elements that are stably clustered together. We build upon per-cluster multi-parameter distribution functions to quantify cluster similarity, and merge clusters in different ensemble members. By applying the proposed approach to a time-varying ensemble, the temporal development of clusters, and in particular their stability over time can be analyzed. We apply this approach to analyze a time-varying ensemble of 3D cloud simulations. The visualizations via t-SNE, parallel coordinate plots and scatter plot matrices show dependencies between the simulation results and the simulation parameters used to generate the ensemble, and they provide insight into the temporal ensemble variability regarding the major trends in the multi-parameter distributions.",,Rejected,Abstract Screening,3,1,,"Josef Stumpfegger, Alexander Kumpf, R. Westermann",,2019,10.1109/tvcg.2018.2864901,"International Symposium on Vision, Modeling, and Visualization",,,217
